id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
1dd-aashirvaad-shudh-chakki-whole-wheat-atta-1-kg-r13,Aata | Aashirvaad | 1 kg,Aata | Aashirvaad | 1 kg. Fresh quality atta & flour available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-aashirvaad-shudh-chakki-whole-wheat-atta-1-kg-r13,https://1dd.web.app/images/products/Aata%20%7C%20Aashirvaad%20%7C%201%20kg.jpg,Aashirvaad,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour",
1dd-aashirvaad-shudh-chakki-whole-wheat-atta-2kg-r14,Aata | Aashirvaad | 2kg,Aata | Aashirvaad | 2kg. Fresh quality atta & flour available for fast 1-day home delivery across town at best price ₹120.,in stock,new,120.00 INR,https://1dd.web.app/?item=1dd-aashirvaad-shudh-chakki-whole-wheat-atta-2kg-r14,https://1dd.web.app/images/products/Aata%20%7C%20Aashirvaad%20%7C%202kg.jpg,Aashirvaad,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour",
1dd-fortune-chakki-fresh-wheat-atta-1-kg-r15,Aata | Fortune Chakki Fresh | 1 kg,Aata | Fortune Chakki Fresh | 1 kg. Fresh quality atta & flour available for fast 1-day home delivery across town at best price ₹50.,in stock,new,50.00 INR,https://1dd.web.app/?item=1dd-fortune-chakki-fresh-wheat-atta-1-kg-r15,https://1dd.web.app/images/products/Aata%20%7C%20Fortune%20Chakki%20Fresh%20%7C%201%20kg.jpg,Fortune,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour",
1dd-fresh-chakki-atta-loose-khula-1-kg-r16,Aata | Loose Atta | 1 kg,Aata | Loose Atta | 1 kg. Fresh quality atta & flour available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-fresh-chakki-atta-loose-khula-1-kg-r16,https://1dd.web.app/images/products/Aata%20%7C%20Loose%20Atta%20%7C%201%20kg.jpeg,Local Chakki,"Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Flour",
1dd-eveready-aa-big-pencil-batteries-2-pieces-r102,Battery | Eveready AA (Big) | 2 pieces,Battery | Eveready AA (Big) | 2 pieces. Fresh quality batteries & electricals available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-eveready-aa-big-pencil-batteries-2-pieces-r102,https://1dd.web.app/images/products/Battery%20%7C%20Eveready%20AA%20(Big)%20%7C%202%20pieces.jpg,Eveready,Electronics > Electronics Accessories > Power > Batteries,
1dd-eveready-aaa-small-pencil-batteries-1packet-r101,Battery | Eveready AAA (Small) | 1packet,Battery | Eveready AAA (Small) | 1packet. Fresh quality batteries & electricals available for fast 1-day home delivery across town at best price ₹15.,in stock,new,15.00 INR,https://1dd.web.app/?item=1dd-eveready-aaa-small-pencil-batteries-1packet-r101,https://1dd.web.app/images/products/Battery%20%7C%20Eveready%20AAA%20(Small)%20%7C%201packet.jpg,Eveready,Electronics > Electronics Accessories > Power > Batteries,
1dd-fortune-100-chana-dal-besan-500g-r29,Besan | Fortune | 500g,Besan | Fortune | 500g. Fresh quality breakfast & staples available for fast 1-day home delivery across town at best price ₹50.,in stock,new,50.00 INR,https://1dd.web.app/?item=1dd-fortune-100-chana-dal-besan-500g-r29,https://1dd.web.app/images/products/Besan%20%7C%20Fortune%20%7C%20500g.png,Fortune,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-bikaji-aslee-bikaneri-bhujia-200g-r125,Bikaji | Bhujia | 200g,Bikaji | Bhujia | 200g. Fresh quality namkeen & snacks available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-bikaji-aslee-bikaneri-bhujia-200g-r125,https://1dd.web.app/images/products/Bikaji%20%7C%20Bhujia%20%7C%20200g.jpg,Bikaji,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips, Pretzels & Puffs",
1dd-bikaji-kolkata-special-jhal-chanachur-200g-r129,Bikaji | Kolkata Jhal | 200g,Bikaji | Kolkata Jhal | 200g. Fresh quality namkeen & snacks available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-bikaji-kolkata-special-jhal-chanachur-200g-r129,https://1dd.web.app/images/products/Bikaji%20%7C%20Kolkata%20Jhal%20%7C%20200g.jpg,Bikaji,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips, Pretzels & Puffs",
1dd-bikaji-kuch-kuch-all-in-one-mixture-200g-r127,Bikaji | Kuch Kuch | 200g,Bikaji | Kuch Kuch | 200g. Fresh quality namkeen & snacks available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-bikaji-kuch-kuch-all-in-one-mixture-200g-r127,https://1dd.web.app/images/products/Bikaji%20%7C%20Kuch%20Kuch%20%7C%20200g.jpg,Bikaji,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips, Pretzels & Puffs",
